set,id,name,art_composition,value,tribes,tags,rarity,rules_text,design_role,e1_trigger,e1_conditions,e1_target,e1_primitive,e1_amount,e1_duration,e1_stack,e1_limits,e1_text_values,e2_trigger,e2_conditions,e2_target,e2_primitive,e2_amount,e2_duration,e2_stack,e2_limits,e2_text_values
gravebound_court,gravebound_court_ghosts_wake,1 Ghost's Wake,1 ghost floats above a grave.,1,Undead,Dungeon,common,"If this loses, return your highest Undead of value {threshold} or lower from your discard to your hand and draw {drawCount} cards.",Sacrifice and recovery,onLose,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=2)",returnToHand,,instant,unique,,drawCount=constant(5); threshold=constant(2),onLose,,player(self),draw,constant(5),instant,stack,,
gravebound_court,gravebound_court_ghosts_vigil,2 Ghosts' Vigil,2 ghosts guard two candles.,2,Undead,Dungeon,common,"If this loses, return your highest Undead of value {threshold} or lower from discard to hand.",Sacrifice and recovery,onLose,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=2)",returnToHand,,instant,unique,,threshold=constant(2),,,,,,,,,
gravebound_court,gravebound_court_ghosts_supper,3 Ghosts' Supper,3 ghosts gather at a table.,3,Undead,Dungeon,common,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"5 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=5 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(5)",,,,,,,,,
gravebound_court,gravebound_court_ghosts_grave_shift,4 Ghosts' Grave Shift,4 ghosts patrol cemetery rows.,4,Undead,Dungeon,uncommon,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"3 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=3 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(3)",,,,,,,,,
gravebound_court,gravebound_court_ghosts_bell_toll,5 Ghosts' Bell Toll,5 ghosts ring a crypt bell.,5,Undead,Dungeon,uncommon,"Gets +{rate} for each Undead you have lost this match, currently +{amount}.",Loss-history payoff,beforeCompare,,thisCard,modifyValue,"2 * (historyCount(self, tribe=Undead, result=lose))",thisComparison,stack,,"amount=2 * (historyCount(self, tribe=Undead, result=lose)); rate=constant(2)",,,,,,,,,
gravebound_court,gravebound_court_ghosts_procession,6 Ghosts' Procession,6 ghosts cross between tombs.,6,Undead,Dungeon,uncommon,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,oncePerRound,threshold=constant(3),,,,,,,,,
gravebound_court,gravebound_court_ghosts_crypt_ball,7 Ghosts' Crypt Ball,7 ghosts dance inside a crypt.,7,Undead,Dungeon,rare,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,oncePerRound,threshold=constant(3),,,,,,,,,
gravebound_court,gravebound_court_ghosts_court,8 Ghosts' Court,8 ghosts face an empty throne.,8,Undead,Dungeon,rare,"If this wins, return your highest Undead of value {threshold} or lower from discard to hand.",Recursion payoff,onWin,,"zone(self, discard, highest, count=1, tribe=Undead, maxValue=3)",returnToHand,,instant,unique,,threshold=constant(3),,,,,,,,,
gravebound_court,gravebound_court_ghosts_coronation,9 Ghosts' Coronation,9 ghosts crown a dead king.,9,Undead,Dungeon,rare,"Whenever this loses, draw {amount} card.",High-value insurance,onLose,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
gravebound_court,gravebound_court_ghosts_reunion,10 Ghosts' Reunion,10 ghosts rise from open graves.,10,Undead,Dungeon,epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(16),untilTriggered,unique,,amount=constant(16),,,,,,,,,
sableweb_brood,sableweb_brood_spiders_web,1 Spider's Web,1 spider hangs from one thread.,1,Spider,Mirefen,common,"When revealed, gain {amount} Web. When revealed, silence the opposing card this round.",Counter setup,onReveal,,player(self),addCounter,Web: constant(10),instant,stack,,amount=constant(10),onReveal,,opponentCard,silence,,thisRound,replace,,
sableweb_brood,sableweb_brood_spiders_wait,2 Spiders' Wait,2 spiders wait around a fly.,2,Spider,Mirefen,common,Gets +{amount} if you have at least {threshold} Web.,Counter payoff,beforeCompare,"counterCompare(self, Web, gte, 1)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21); threshold=constant(1),,,,,,,,,
sableweb_brood,sableweb_brood_spiders_snack,3 Spiders' Snack,3 spiders share a beetle.,3,Spider,Mirefen,common,"Gets +{rate} for each Web you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"3 * (counter(self, Web))",thisComparison,stack,,"amount=3 * (counter(self, Web)); rate=constant(3)",,,,,,,,,
sableweb_brood,sableweb_brood_spiders_silk_trap,4 Spiders' Silk Trap,4 spiders close around a knight.,4,Spider,Mirefen,uncommon,"When revealed, gain {amount} Web. With at least {threshold} Web it also counts as a Spirit this round.",Counter setup and bridge,onReveal,,player(self),addCounter,Web: constant(3),instant,stack,,amount=constant(3); threshold=constant(1),beforeCompare,"counterCompare(self, Web, gte, 1)",thisCard,addTribe,Spirit,thisRound,unique,oncePerRound,
sableweb_brood,sableweb_brood_spiders_shed,5 Spiders' Shed,5 spiders molt on branches.,5,Spider,Mirefen,uncommon,Gets +{amount} if you have at least {threshold} Web.,Counter payoff,beforeCompare,"counterCompare(self, Web, gte, 2)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(2),,,,,,,,,
sableweb_brood,sableweb_brood_spiders_egg_hunt,6 Spiders' Egg Hunt,6 spiders guard an egg clutch.,6,Spider,Mirefen,uncommon,"Gets +{rate} for each Web you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"counter(self, Web)",thisComparison,stack,,"amount=counter(self, Web); rate=constant(1)",,,,,,,,,
sableweb_brood,sableweb_brood_spiders_tea_party,7 Spiders' Tea Party,7 spiders gather around a teapot.,7,Spider,Mirefen,rare,"When revealed, gain {amount} Web.",Counter setup,onReveal,,player(self),addCounter,Web: constant(3),instant,stack,,amount=constant(3),,,,,,,,,
sableweb_brood,sableweb_brood_spiders_night_watch,8 Spiders' Night Watch,8 spiders line a ruined arch.,8,Spider,Mirefen,rare,Gets +{amount} if you have at least {threshold} Web.,Counter payoff,beforeCompare,"counterCompare(self, Web, gte, 1)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4); threshold=constant(1),,,,,,,,,
sableweb_brood,sableweb_brood_spiders_feast,9 Spiders' Feast,9 spiders cover a trapped boar.,9,Spider,Mirefen,rare,"Gets +{rate} for each Web you have, currently +{amount}.",Scaling payoff,beforeCompare,,thisCard,modifyValue,"3 * (counter(self, Web))",thisComparison,stack,,"amount=3 * (counter(self, Web)); rate=constant(3)",,,,,,,,,
sableweb_brood,sableweb_brood_spiders_brood_rite,10 Spiders' Brood Rite,10 spiders circle a webbed altar.,10,Spider,Mirefen,epic,"When revealed, gain {amount} Web.",Large payoff with a counter cost,onReveal,,player(self),addCounter,Web: constant(8),instant,stack,,amount=constant(8),,,,,,,,,
ashen_flight,ashen_flight_dragons_spark,1 Dragon's Spark,1 dragon sneezes a spark.,1,Dragon,Fire,common,"When revealed, give the opponent {amount} Dread. The opposing card cannot exceed {cap} this comparison.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(10),instant,stack,,amount=constant(10); cap=constant(1),beforeCompare,,opponentCard,maximumValue,constant(1),thisComparison,lowest,,
ashen_flight,ashen_flight_dragons_smoke_break,2 Dragons' Smoke Break,2 dragons lounge in chimney smoke.,2,Dragon,Fire,common,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"4 * (counter(opponent, Dread))",thisComparison,stack,,"amount=4 * (counter(opponent, Dread)); rate=constant(4)",,,,,,,,,
ashen_flight,ashen_flight_dragons_roost,3 Dragons' Roost,3 dragons crowd a cliff nest.,3,Dragon,"Fire, Dungeon",common,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 1)",opponentCard,modifyValue,constant(-10),thisComparison,stack,,amount=constant(10); threshold=constant(1),,,,,,,,,
ashen_flight,ashen_flight_dragons_first_raid,4 Dragons' First Raid,4 dragons dive at a watchtower.,4,Dragon,Fire,uncommon,"When revealed, give the opponent {amount} Dread.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(3),instant,stack,,amount=constant(3),,,,,,,,,
ashen_flight,ashen_flight_dragons_ashfall,5 Dragons' Ashfall,5 dragons fly through falling ash.,5,Dragon,Fire,uncommon,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"counter(opponent, Dread)",thisComparison,stack,,"amount=counter(opponent, Dread); rate=constant(1)",,,,,,,,,
ashen_flight,ashen_flight_dragons_fire_drill,6 Dragons' Fire Drill,6 dragons breathe fire in formation.,6,Dragon,"Fire, Dungeon",uncommon,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 2)",opponentCard,modifyValue,constant(-2),thisComparison,stack,,amount=constant(2); threshold=constant(2),,,,,,,,,
ashen_flight,ashen_flight_dragons_sky_hunt,7 Dragons' Sky Hunt,7 dragons chase riders below.,7,Dragon,Fire,rare,"When revealed, give the opponent {amount} Dread. If this wins, give them {bonus} more Dread.",Pressure conversion and renewal,onReveal,,player(opponent),addCounter,Dread: constant(3),instant,stack,,amount=constant(3); bonus=constant(3),onWin,,player(opponent),addCounter,Dread: constant(3),instant,unique,oncePerRound,
ashen_flight,ashen_flight_dragons_bridge_roast,8 Dragons' Bridge Roast,8 dragons roast a stone bridge.,8,Dragon,Fire,rare,"Gets +{rate} for each Dread on the opponent, currently +{amount}.",Pressure payoff,beforeCompare,,thisCard,modifyValue,"2 * (counter(opponent, Dread))",thisComparison,stack,,"amount=2 * (counter(opponent, Dread)); rate=constant(2)",,,,,,,,,
ashen_flight,ashen_flight_dragons_sun_feast,9 Dragons' Sun Feast,9 dragons encircle the sun.,9,Dragon,"Fire, Dungeon",epic,"If the opponent has at least {threshold} Dread, their card gets -{amount}.",Pressure conversion,beforeCompare,"counterCompare(opponent, Dread, gte, 1)",opponentCard,modifyValue,constant(-6),thisComparison,stack,,amount=constant(6); threshold=constant(1),,,,,,,,,
ashen_flight,ashen_flight_dragons_long_nap,10 Dragons' Long Nap,10 dragons sleep across a mountain.,10,Dragon,Fire,epic,"When revealed, give the opponent {amount} Dread.",Pressure setup,onReveal,,player(opponent),addCounter,Dread: constant(16),instant,stack,,amount=constant(16),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_patrol,1 Ranger's Patrol,1 ranger scans a forest road.,1,Human,Eastbrook,common,"If this loses, your next Beast gets +{amount} and your highest Beast returns from your discard to your hand.",Sacrifice setup,onLose,,"nextCard(self, tribe=Beast)",modifyValue,constant(30),untilTriggered,unique,,amount=constant(30),onLose,,"zone(self, discard, highest, count=1, tribe=Beast)",returnToHand,,instant,unique,,
eastbrook_company,eastbrook_company_rangers_lost_map,2 Rangers' Lost Map,2 rangers argue over a map.,2,Human,Eastbrook,common,"If this loses, your next Beast gets +{amount}.",Sacrifice setup,onLose,,"nextCard(self, tribe=Beast)",modifyValue,constant(21),untilTriggered,unique,,amount=constant(21),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_dog_walk,3 Rangers' Dog Walk,3 rangers walk leashed hounds.,3,Human,Eastbrook,common,"If this loses, your next Beast gets +{amount}.",Sacrifice setup,onLose,,"nextCard(self, tribe=Beast)",modifyValue,constant(15),untilTriggered,unique,,amount=constant(15),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_campfire,4 Rangers' Campfire,4 rangers sit around a campfire.,4,Human,Eastbrook,rare,"When revealed, your next Beast gets +{amount}.",Reliable tribal setup,onReveal,,"nextCard(self, tribe=Beast)",modifyValue,constant(6),untilTriggered,unique,,amount=constant(6),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_beast_hunt,5 Rangers' Beast Hunt,5 rangers track a giant boar.,5,Human,Eastbrook,rare,"When revealed, your next Beast gets +{amount}.",Reliable tribal setup,onReveal,,"nextCard(self, tribe=Beast)",modifyValue,constant(4),untilTriggered,unique,,amount=constant(4),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_stable_shift,6 Rangers' Stable Shift,6 rangers work inside a stable.,6,Human,Eastbrook,rare,"When revealed, your next Beast gets +{amount}.",Reliable tribal setup,onReveal,,"nextCard(self, tribe=Beast)",modifyValue,constant(4),untilTriggered,unique,,amount=constant(4),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_roll_call,7 Rangers' Roll Call,7 rangers stand in formation.,7,Human,Eastbrook,rare,"If this wins, your next Beast gets +{amount}.",High-value tribal bridge,onWin,,"nextCard(self, tribe=Beast)",modifyValue,constant(3),untilTriggered,unique,,amount=constant(3),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_rescue,8 Rangers' Rescue,8 rangers carry an injured scout.,8,Human,Eastbrook,rare,"If this wins, your next Beast gets +{amount}.",High-value tribal bridge,onWin,,"nextCard(self, tribe=Beast)",modifyValue,constant(4),untilTriggered,unique,,amount=constant(4),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_last_watch,9 Rangers' Last Watch,9 rangers guard a village gate.,9,Human,Eastbrook,rare,"If this wins, your next Beast gets +{amount}.",High-value tribal bridge,onWin,,"nextCard(self, tribe=Beast)",modifyValue,constant(6),untilTriggered,unique,,amount=constant(6),,,,,,,,,
eastbrook_company,eastbrook_company_rangers_victory_march,10 Rangers' Victory March,10 rangers march beneath banners.,10,Human,Eastbrook,legendary,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(16),untilTriggered,unique,,amount=constant(16),,,,,,,,,
ironward_assembly,ironward_assembly_golems_boot,1 Golem's Boot,1 golem wakes on a forge slab.,1,Construct,Dungeon,common,"When revealed, lower value wins the comparison. When revealed, silence the opposing card this round.",Rule inversion,onReveal,,thisCard,reverseComparison,,thisComparison,unique,,,onReveal,,opponentCard,silence,,thisRound,replace,,
ironward_assembly,ironward_assembly_golems_test_run,2 Golems' Test Run,2 golems cross a testing yard.,2,Construct,Dungeon,common,This card wins tied rounds.,Tie control,beforeCompare,,thisCard,winTies,,thisComparison,unique,,,,,,,,,,,
ironward_assembly,ironward_assembly_golems_watch,3 Golems' Watch,3 golems guard a sealed door.,3,Construct,Dungeon,common,This card cannot be reduced below {amount}.,Value floor,beforeCompare,,thisCard,minimumValue,constant(8),thisComparison,highest,,amount=constant(8),,,,,,,,,
ironward_assembly,ironward_assembly_golems_tune_up,4 Golems' Tune-Up,4 golems receive hammer repairs.,4,Construct,Dungeon,uncommon,The opponent card cannot exceed {amount} this round.,Value ceiling,beforeCompare,,opponentCard,maximumValue,constant(4),thisComparison,lowest,,amount=constant(4),,,,,,,,,
ironward_assembly,ironward_assembly_golems_forge_day,5 Golems' Forge Day,5 golems stand around a furnace.,5,Construct,Dungeon,uncommon,This card becomes the opponent card base value.,Value copy,beforeCompare,,thisCard,setValue,"cardValue(opponentCard, base)",thisComparison,replace,,,,,,,,,,,
ironward_assembly,ironward_assembly_golems_shield_wall,6 Golems' Shield Wall,6 golems form a shield wall.,6,Construct,Dungeon,uncommon,"The first time this is revealed, the opponent card has no effect this round.",Silence,onReveal,,opponentCard,silence,,thisRound,unique,oncePerMatch,,,,,,,,,,
ironward_assembly,ironward_assembly_golems_march,7 Golems' March,7 golems march through a pass.,7,Construct,Dungeon,epic,"The first time this is played, swap both effective values.",Value exchange,beforeCompare,,thisCard,swapValues,,thisComparison,unique,oncePerMatch,,,,,,,,,,
ironward_assembly,ironward_assembly_golems_lockdown,8 Golems' Lockdown,8 golems block every doorway.,8,Construct,Dungeon,epic,This card cannot be reduced below {amount}.,Defensive floor,beforeCompare,,thisCard,minimumValue,constant(9),thisComparison,highest,,amount=constant(9),,,,,,,,,
ironward_assembly,ironward_assembly_golems_last_stand,9 Golems' Last Stand,9 golems defend a broken forge.,9,Construct,Dungeon,rare,The opponent card cannot exceed {amount} this round.,Restrained ceiling,beforeCompare,,opponentCard,maximumValue,constant(2),thisComparison,lowest,,amount=constant(2),,,,,,,,,
ironward_assembly,ironward_assembly_golems_awakening,10 Golems' Awakening,10 golems rise from stone circles.,10,Construct,Dungeon,epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(24),untilTriggered,unique,,amount=constant(24),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_puddle,1 Mudfin's Puddle,1 mudfin sits in a puddle.,1,Mudfin,Mirefen,uncommon,"If this loses, reveal {count} random cards in the opponent hand and the opponent discards {discardCount} random cards.",Scouting sacrifice,onLose,,"zone(opponent, hand, random, count=6)",reveal,6 random cards,instant,stack,,count=constant(6); discardCount=constant(3),onLose,,"zone(opponent, hand, random, count=3)",discard,3 random cards,instant,stack,,
mirefen_tide,mirefen_tide_mudfins_fish_fry,2 Mudfins' Fish Fry,2 mudfins cook fish over reeds.,2,Mudfin,Mirefen,uncommon,"If this loses, reveal {count} random cards in the opponent hand.",Scouting sacrifice,onLose,,"zone(opponent, hand, random, count=5)",reveal,5 random cards,instant,stack,,count=constant(5),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_net_cast,3 Mudfins' Net Cast,3 mudfins cast nets from banks.,3,Mudfin,Mirefen,uncommon,"If this wins, the opponent discards {count} random cards.",Hand disruption,onWin,,"zone(opponent, hand, random, count=3)",discard,3 random cards,instant,stack,,count=constant(3),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_bog_race,4 Mudfins' Bog Race,4 mudfins race through a bog.,4,Mudfin,Mirefen,uncommon,"If this wins, the opponent discards {count} random cards.",Hand disruption,onWin,,"zone(opponent, hand, random, count=2)",discard,2 random cards,instant,stack,oncePerRound,count=constant(2),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_reed_raid,5 Mudfins' Reed Raid,5 mudfins charge from tall reeds.,5,Mudfin,Mirefen,uncommon,"The first time this is revealed, reveal the opponent hand.",Information spike,onReveal,,player(opponent),reveal,Entire hand,instant,unique,oncePerMatch,,,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_tide_call,6 Mudfins' Tide Call,6 mudfins raise shells to the tide.,6,Mudfin,Mirefen,uncommon,"The first time this is revealed, reveal the opponent hand.",Information spike,onReveal,,player(opponent),reveal,Entire hand,instant,unique,oncePerMatch,,,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_grub_feast,7 Mudfins' Grub Feast,7 mudfins crowd around roasted grubs.,7,Mudfin,Mirefen,rare,Gets +{amount} if the opponent card is Human.,Targeted payoff,beforeCompare,"hasTribe(opponentCard, Human)",thisCard,modifyValue,constant(5),thisComparison,stack,,amount=constant(5),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_mud_ball,8 Mudfins' Mud Ball,8 mudfins throw mud at each other.,8,Mudfin,Mirefen,rare,Gets +{amount} if the opponent card is Human.,Targeted payoff,beforeCompare,"hasTribe(opponentCard, Human)",thisCard,modifyValue,constant(8),thisComparison,stack,,amount=constant(8),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_moon_croak,9 Mudfins' Moon Croak,9 mudfins croak beneath the moon.,9,Mudfin,Mirefen,epic,"Whenever this wins, draw {amount} card.",High-value tempo,onWin,,player(self),draw,constant(3),instant,stack,,amount=constant(3),,,,,,,,,
mirefen_tide,mirefen_tide_mudfins_flood,10 Mudfins' Flood,10 mudfins ride a surge of water.,10,Mudfin,Mirefen,epic,"When revealed, the opponent discards {count} random cards.",Maximum value with drawback,onReveal,,"zone(opponent, hand, random, count=4)",discard,4 random cards,instant,stack,,count=constant(4),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_dig,1 Burrower's Dig,1 burrower digs beside a lantern.,1,Burrower,Dungeon,common,Gets +{amount} if your previous card was Burrower. This card wins ties.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(30),thisComparison,stack,,amount=constant(30),beforeCompare,,thisCard,winTies,,thisComparison,replace,,
tunnel_crown,tunnel_crown_burrowers_shift,2 Burrowers' Shift,2 burrowers pass stones hand to hand.,2,Burrower,Dungeon,common,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(21),thisComparison,stack,,amount=constant(21),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_cave_in,3 Burrowers' Cave-In,3 burrowers flee a falling tunnel.,3,Burrower,Dungeon,common,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(10),thisComparison,stack,,amount=constant(10),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_gem_rush,4 Burrowers' Gem Rush,4 burrowers grab gems from a wall.,4,Burrower,Dungeon,uncommon,Counts as Burrower this round and gets +{amount} if your previous card was Burrower.,Sequence bridge and payoff,beforeCompare,,thisCard,addTribe,Burrower,thisRound,unique,oncePerRound,amount=constant(6),beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(6),thisComparison,stack,,
tunnel_crown,tunnel_crown_burrowers_lunch_break,5 Burrowers' Lunch Break,5 burrowers eat beside mine carts.,5,Burrower,Dungeon,uncommon,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(4),thisComparison,stack,,amount=constant(4),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_deep_march,6 Burrowers' Deep March,6 burrowers march into a deep shaft.,6,Burrower,Dungeon,uncommon,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(2),thisComparison,stack,,amount=constant(2),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_rockfall,7 Burrowers' Rockfall,7 burrowers dodge tumbling boulders.,7,Burrower,Dungeon,rare,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(3),thisComparison,stack,,amount=constant(3),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_throne_run,8 Burrowers' Throne Run,8 burrowers carry a stone throne.,8,Burrower,Dungeon,rare,Counts as Burrower this round and gets +{amount} if your previous card was Burrower.,Sequence bridge and payoff,beforeCompare,,thisCard,addTribe,Burrower,thisRound,unique,,amount=constant(4),beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(4),thisComparison,stack,,
tunnel_crown,tunnel_crown_burrowers_last_tunnel,9 Burrowers' Last Tunnel,9 burrowers brace a collapsing tunnel.,9,Burrower,Dungeon,rare,Gets +{amount} if your previous card was Burrower.,Sequence payoff,beforeCompare,"hasTribe(myPreviousCard, Burrower)",thisCard,modifyValue,constant(6),thisComparison,stack,,amount=constant(6),,,,,,,,,
tunnel_crown,tunnel_crown_burrowers_uprising,10 Burrowers' Uprising,10 burrowers burst from the ground.,10,Burrower,Dungeon,epic,"If this wins, your next card gets +{amount}.",Maximum value with drawback,onWin,,nextCard(self),modifyValue,constant(24),untilTriggered,unique,,amount=constant(24),,,,,,,,,
stormheart_conclave,stormheart_conclave_stormlings_static,1 Stormling's Static,1 stormling crackles inside a jar.,1,Elemental,Nature,common,"The opponent card gets -{amount} if it is a {threshold} or higher, and cannot exceed {cap} this comparison.",Threshold suppression,beforeCompare,"valueCompare(opponentCard, base, gte, 6)",opponentCard,modifyValue,constant(-30),thisComparison,stack,,amount=constant(30); cap=constant(1); threshold=constant(6),beforeCompare,,opponentCard,maximumValue,constant(1),thisComparison,lowest,,
